2018-10-10 10:11:20,096: |Mouse moved to |(886, 297)
2018-10-10 10:11:20,096: |Mouse moved to |(876, 288)
2018-10-10 10:11:20,112: |Mouse moved to |(867, 280)
2018-10-10 10:11:20,128: |Mouse moved to |(863, 278)
2018-10-10 10:11:20,128: |Mouse moved to |(863, 275)
2018-10-10 10:11:20,143: |Mouse moved to |(861, 273)
2018-10-10 10:11:20,159: |Mouse moved to |(858, 268)
2018-10-10 10:11:20,159: |Mouse moved to |(857, 264)
2018-10-10 10:11:20,174: |Mouse moved to |(856, 259)
2018-10-10 10:11:20,190: |Mouse moved to |(854, 253)
2018-10-10 10:11:20,190: |Mouse moved to |(853, 249)
2018-10-10 10:11:20,206: |Mouse moved to |(852, 246)
2018-10-10 10:11:20,221: |Mouse moved to |(852, 245)
2018-10-10 10:11:20,221: |Mouse moved to |(852, 244)
2018-10-10 10:11:20,237: |Mouse moved to |(851, 242)
2018-10-10 10:11:20,252: |Mouse moved to |(851, 242)
2018-10-10 10:11:20,252: |Mouse moved to |(851, 240)
2018-10-10 10:11:20,268: |Mouse moved to |(850, 240)
2018-10-10 10:11:20,315: |Mouse clicked at |(850, 240) with Button.left
2018-10-10 10:11:20,442: |Mouse moved to |(850, 239)
2018-10-10 10:11:20,457: |Mouse moved to |(853, 239)
2018-10-10 10:11:20,473: |Mouse moved to |(860, 239)
2018-10-10 10:11:20,473: |Mouse moved to |(870, 239)
2018-10-10 10:11:20,488: |Mouse moved to |(881, 240)
2018-10-10 10:11:20,504: |Mouse moved to |(895, 243)
2018-10-10 10:11:20,504: |Mouse moved to |(910, 245)
2018-10-10 10:11:20,520: |Mouse moved to |(924, 246)
2018-10-10 10:11:20,535: |Mouse moved to |(939, 249)
2018-10-10 10:11:20,535: |Mouse moved to |(951, 251)
2018-10-10 10:11:20,551: |Mouse moved to |(960, 252)
2018-10-10 10:11:20,566: |Mouse moved to |(971, 254)
2018-10-10 10:11:20,566: |Mouse moved to |(981, 256)
2018-10-10 10:11:20,582: |Mouse moved to |(988, 261)
2018-10-10 10:11:20,598: |Mouse moved to |(997, 265)
2018-10-10 10:11:20,598: |Mouse moved to |(1007, 273)
2018-10-10 10:11:20,613: |Mouse moved to |(1017, 281)
2018-10-10 10:11:20,629: |Mouse moved to |(1028, 289)
2018-10-10 10:11:20,629: |Mouse moved to |(1040, 301)
2018-10-10 10:11:20,644: |Mouse moved to |(1054, 317)
2018-10-10 10:11:20,660: |Mouse moved to |(1065, 333)
2018-10-10 10:11:20,660: |Mouse moved to |(1074, 347)
2018-10-10 10:11:20,676: |Mouse moved to |(1080, 359)
2018-10-10 10:11:20,691: |Mouse moved to |(1082, 368)
2018-10-10 10:11:20,707: |Mouse moved to |(1084, 379)
2018-10-10 10:11:20,707: |Mouse moved to |(1084, 390)
2018-10-10 10:11:20,722: |Mouse moved to |(1084, 404)
2018-10-10 10:11:20,738: |Mouse moved to |(1082, 412)
2018-10-10 10:11:20,738: |Mouse moved to |(1078, 424)
2018-10-10 10:11:20,754: |Mouse moved to |(1074, 431)
2018-10-10 10:11:20,769: |Mouse moved to |(1071, 440)
2018-10-10 10:11:20,769: |Mouse moved to |(1069, 446)
2018-10-10 10:11:20,785: |Mouse moved to |(1068, 451)
2018-10-10 10:11:20,800: |Mouse moved to |(1067, 456)
2018-10-10 10:11:20,800: |Mouse moved to |(1066, 463)
2018-10-10 10:11:20,816: |Mouse moved to |(1066, 466)
2018-10-10 10:11:20,832: |Mouse moved to |(1066, 469)
2018-10-10 10:11:20,832: |Mouse moved to |(1066, 470)
2018-10-10 10:11:20,847: |Mouse moved to |(1066, 471)
2018-10-10 10:11:20,863: |Mouse moved to |(1066, 471)
2018-10-10 10:11:20,894: |Mouse clicked at |(1066, 471) with Button.left
2018-10-10 10:11:21,019: |Mouse moved to |(1066, 470)
2018-10-10 10:11:21,019: |Mouse moved to |(1064, 464)
2018-10-10 10:11:21,034: |Mouse moved to |(1063, 456)
2018-10-10 10:11:21,050: |Mouse moved to |(1057, 441)
2018-10-10 10:11:21,050: |Mouse moved to |(1048, 420)
2018-10-10 10:11:21,066: |Mouse moved to |(1039, 400)
2018-10-10 10:11:21,082: |Mouse moved to |(1029, 378)
2018-10-10 10:11:21,082: |Mouse moved to |(1024, 354)
2018-10-10 10:11:21,098: |Mouse moved to |(1019, 337)
2018-10-10 10:11:21,113: |Mouse moved to |(1018, 311)
2018-10-10 10:11:21,113: |Mouse moved to |(1018, 283)
2018-10-10 10:11:21,129: |Mouse moved to |(1018, 266)
2018-10-10 10:11:21,145: |Mouse moved to |(1022, 247)
2018-10-10 10:11:21,145: |Mouse moved to |(1029, 229)
2018-10-10 10:11:21,160: |Mouse moved to |(1037, 211)
2018-10-10 10:11:21,176: |Mouse moved to |(1042, 200)
2018-10-10 10:11:21,176: |Mouse moved to |(1045, 189)
2018-10-10 10:11:21,191: |Mouse moved to |(1048, 176)
2018-10-10 10:11:21,207: |Mouse moved to |(1048, 166)
